LONGITUDE LATITUDE PRCP
-81.5953 33.1694 1.31
-81.5564 33.1553 1.51
-81.5175 33.1412 1.83
-81.4786 33.127 1.93
-81.4398 33.1129 1.79
-81.4009 33.0987 1.87
-81.3621 33.0844 2.13
-81.3234 33.0702 2.61
-81.2846 33.056 3.0
-81.2459 33.0417 3.04
-81.2071 33.0274 3.1
-81.1685 33.0131 2.16
-81.1298 32.9987 2.12
-81.0911 32.9844 3.81
-81.0525 32.97 3.96
-81.0139 32.9556 3.66
-80.9754 32.9412 3.58
-80.9368 32.9267 3.92
-80.8983 32.9123 4.09
-80.8598 32.8978 4.27
-80.8213 32.8833 4.33
-80.7828 32.8688 4.52
-80.7444 32.8543 4.74
-80.706 32.8397 4.69
-80.6676 32.8251 4.3
-80.6292 32.8106 3.85
-80.5909 32.7959 3.62
-80.5526 32.7813 3.61
-80.5143 32.7667 3.76
-80.476 32.752 3.81
-80.4377 32.7373 4.12
-80.3995 32.7226 4.46
-80.3613 32.7079 5.15
-80.3231 32.6931 5.32
-80.285 32.6783 5.64
-80.2468 32.6636 6.28
-80.2087 32.6487 6.74
-80.1707 32.6339 7.22
-80.1326 32.6191 7.83
-80.0946 32.6042 8.15
-81.8126 33.2864 1.07
-81.7735 33.2724 1.13
-81.7344 33.2583 1.34
-81.6954 33.2443 1.39
-81.6564 33.2302 1.61
-81.6174 33.2161 1.63
-81.5784 33.202 1.68
-81.5395 33.1879 1.93
-81.5006 33.1738 2.2
-81.4617 33.1596 2.3
-81.4228 33.1454 2.63
-81.384 33.1312 2.88
-81.3451 33.117 3.18
-81.3063 33.1027 3.15
-81.2676 33.0884 2.79
-81.2288 33.0741 2.67
-81.1901 33.0598 2.98
-81.1514 33.0455 3.42
-81.1127 33.0312 3.61
-81.074 33.0168 3.92
-81.0354 33.0024 3.86
-80.9967 32.988 3.81
-80.9582 32.9735 3.72
-80.9196 32.9591 3.68
-80.881 32.9446 3.78
-80.8425 32.9301 4.51
-80.804 32.9156 4.77
-80.7655 32.9011 5.01
-80.7271 32.8866 5.24
-80.6886 32.872 4.83
-80.6502 32.8574 4.59
-80.6118 32.8428 4.5
-80.5735 32.8282 4.69
-80.5351 32.8135 4.46
-80.4968 32.7989 4.62
-80.4585 32.7842 4.91
-80.4203 32.7695 5.27
-80.382 32.7547 5.2
-80.3438 32.74 5.64
-80.3056 32.7252 6.15
-80.2674 32.7104 6.51
-80.2293 32.6956 7.12
-80.1911 32.6808 7.36
-80.153 32.666 8.01
-80.1149 32.6511 8.28
-80.0769 32.6362 8.31
-80.0388 32.6214 7.98
-80.0008 32.6064 7.99
-81.9133 33.361 1.31
-81.8741 33.347 1.17
-81.8349 33.3331 1.0
-81.7958 33.3191 0.93
-81.7567 33.305 1.11
-81.7176 33.291 1.26
-81.6786 33.2769 1.43
-81.6396 33.2629 1.73
-81.6005 33.2487 2.06
-81.5616 33.2346 2.33
-81.5226 33.2205 2.64
-81.4837 33.2063 2.64
-81.4447 33.1921 2.7
-81.4058 33.1779 2.9
-81.367 33.1637 3.54
-81.3281 33.1495 3.93
-81.2893 33.1352 3.69
-81.2505 33.1209 3.57
-81.2117 33.1066 3.54
-81.173 33.0923 3.47
-81.1342 33.0779 3.28
-81.0955 33.0636 3.25
-81.0568 33.0492 3.18
-81.0182 33.0348 3.16
-80.9795 33.0204 2.97
-80.9409 33.0059 3.29
-80.9023 32.9915 3.3
-80.8638 32.977 3.45
-80.8252 32.9625 3.74
-80.7867 32.9479 4.13
-80.7482 32.9334 4.25
-80.7097 32.9188 4.62
-80.6713 32.9043 4.45
-80.6328 32.8897 4.32
-80.5944 32.875 4.42
-80.556 32.8604 4.43
-80.5177 32.8457 4.83
-80.4793 32.8311 4.97
-80.441 32.8164 5.43
-80.4027 32.8016 5.8
-80.3645 32.7869 5.83
-80.3262 32.7721 6.17
-80.288 32.7574 6.66
-80.2498 32.7426 7.01
-80.2116 32.7277 7.46
-80.1735 32.7129 7.83
-80.1354 32.6981 8.02
-80.0973 32.6832 7.95
-80.0592 32.6683 7.51
-80.0211 32.6534 7.63
-79.9831 32.6384 7.94
-81.8965 33.3937 1.23
-81.8574 33.3798 1.17
-81.8182 33.3658 1.02
-81.779 33.3517 1.02
-81.7399 33.3377 1.14
-81.7008 33.3237 1.37
-81.6617 33.3096 1.65
-81.6227 33.2955 2.05
-81.5837 33.2814 2.21
-81.5447 33.2672 2.62
-81.5057 33.2531 2.95
-81.4667 33.2389 3.18
-81.4278 33.2247 3.25
-81.3889 33.2105 3.3
-81.35 33.1962 3.21
-81.3111 33.182 3.08
-81.2722 33.1677 3.33
-81.2334 33.1534 3.72
-81.1946 33.1391 3.88
-81.1559 33.1247 3.85
-81.1171 33.1104 3.71
-81.0784 33.096 3.51
-81.0397 33.0816 3.32
-81.001 33.0672 3.16
-80.9623 33.0528 3.31
-80.9237 33.0383 3.57
-80.8851 33.0238 3.68
-80.8465 33.0093 3.43
-80.8079 32.9948 3.54
-80.7694 32.9803 3.53
-80.7308 32.9657 3.72
-80.6923 32.9511 3.92
-80.6539 32.9365 4.11
-80.6154 32.9219 3.96
-80.577 32.9073 4.61
-80.5386 32.8926 4.79
-80.5002 32.878 4.8
-80.4619 32.8633 4.94
-80.4235 32.8485 5.37
-80.3852 32.8338 6.17
-80.3469 32.8191 6.79
-80.3087 32.8043 7.37
-80.2704 32.7895 7.62
-80.2322 32.7747 7.66
-80.194 32.7599 7.65
-80.1558 32.745 7.52
-80.1177 32.7301 7.93
-80.0796 32.7152 8.0
-80.0415 32.7003 7.92
-80.0034 32.6854 8.28
-79.9654 32.6705 7.84
-81.8798 33.4265 1.29
-81.8406 33.4125 1.33
-81.8014 33.3985 1.38
-81.7622 33.3844 1.28
-81.7231 33.3704 1.55
-81.684 33.3563 2.04
-81.6449 33.3422 1.94
-81.6058 33.3281 2.55
-81.5668 33.314 2.5
-81.5277 33.2998 2.84
-81.4887 33.2857 2.91
-81.4497 33.2715 3.02
-81.4108 33.2573 3.12
-81.3718 33.243 3.23
-81.3329 33.2288 3.15
-81.294 33.2145 3.13
-81.2552 33.2002 2.94
-81.2163 33.1859 2.96
-81.1775 33.1716 3.05
-81.1387 33.1572 3.05
-81.0999 33.1428 3.34
-81.0612 33.1285 3.69
-81.0225 33.114 3.88
-80.9837 33.0996 3.61
-80.9451 33.0852 3.51
-80.9064 33.0707 3.25
-80.8678 33.0562 3.11
-80.8292 33.0417 3.19
-80.7906 33.0271 3.33
-80.752 33.0126 3.4
-80.7135 32.998 3.54
-80.675 32.9834 3.62
-80.6365 32.9688 3.92
-80.598 32.9542 4.06
-80.5595 32.9395 4.51
-80.5211 32.9249 4.91
-80.4827 32.9102 5.12
-80.4443 32.8955 5.52
-80.406 32.8807 5.7
