,DATE,SITENUMBER,LATITUDE,LONGITUDE,GAGE_MAX,YEAR,MONTH
28011,2015-02-28,02163500,34.39178518,-82.22345068,4.77,2015,2
28012,2015-02-28,02164000,34.800118299999994,-82.3651213,2.21,2015,2
28013,2015-02-28,02164110,34.65289568,-82.29761859999998,8.93,2015,2
28014,2015-02-28,02165200,34.52011957,-82.15705140000001,1.45,2015,2
28015,2015-02-28,021652801,34.525,-82.1383333,4.81,2015,2
28016,2015-02-28,02166501,34.16763036,-81.9078923,10.63,2015,2
28017,2015-02-28,02167000,34.17457619,-81.864002,7.39,2015,2
28018,2015-02-28,02167450,34.20957949,-81.7631659,6.93,2015,2
28019,2015-02-28,02167582,34.1687501,-81.61038399,6.51,2015,2
28020,2015-02-28,02167705,34.04458079,-81.697051,15.91,2015,2
28021,2015-02-28,02168504,34.05098220000001,-81.2095418,11.21,2015,2
28022,2015-02-28,02169000,34.01404160000001,-81.08787170000002,6.5,2015,2
28023,2015-02-28,02169500,33.99320985,-81.049815,8.72,2015,2
28024,2015-02-28,02169506,33.9875,-81.0275,3.92,2015,2
28025,2015-02-28,02169568,34.01293324,-80.982035,3.83,2015,2
28026,2015-02-28,02169570,33.98960016,-80.97425729999998,4.75,2015,2
28027,2015-02-28,02169625,33.81071,-80.8670348,14.94,2015,2
28028,2015-02-28,02171001,33.4501652,-80.1636949,30.42,2015,2
28029,2015-02-28,02171645,33.4275,-79.915,21.57,2015,2
28030,2015-02-28,02171700,33.3048893,-79.67812629999997,8.29,2015,2
28031,2015-02-28,02171800,33.20850056,-79.38255799999997,7.53,2015,2
28032,2015-02-28,02171850,33.1840565,-79.4058929,11.76,2015,2
28033,2015-02-28,02172001,33.24461337,-79.991469,9.4,2015,2
28034,2015-02-28,02172002,33.21516925,-79.9745248,8.44,2015,2
28035,2015-02-28,02172035,33.131558399999996,-79.7836887,7.32,2015,2
28036,2015-02-28,02172040,33.06378245,-79.957027,17.85,2015,2
28037,2015-02-28,02172050,33.05767134,-79.93619338,18.62,2015,2
28038,2015-02-28,021720677,32.89045228,-79.9628645,14.39,2015,2
28039,2015-02-28,021720698,32.8590638,-79.8961963,22.22,2015,2
28040,2015-02-28,021720869,32.8346201,-80.02370140000002,12.65,2015,2
28041,2015-02-28,02172300,33.75347736,-81.6017714,5.22,2015,2
28042,2015-02-28,02172558,33.52027778,-81.41027779999997,14.03,2015,2
28043,2015-02-28,02173000,33.39320916,-81.1331559,6.9,2015,2
28044,2015-02-28,02173030,33.3590442,-81.0595425,9.53,2015,2
28045,2015-02-28,02173051,33.33710079,-81.01870799999998,11.14,2015,2
28046,2015-02-28,02173212,33.69,-81.2541667,3.24,2015,2
28047,2015-02-28,02173500,33.48348715,-80.87342578,7.96,2015,2
28048,2015-02-28,02175000,33.02794645,-80.39148759999998,10.46,2015,2
28049,2015-02-28,02175500,32.98904958,-81.0526044,4.36,2015,2
28050,2015-02-28,02176500,32.836277700000004,-81.1317718,7.89,2015,2
28051,2015-02-28,02177000,34.8139814,-83.305993,,2015,2
28052,2015-02-28,02186000,34.801501200000004,-82.74847249999998,3.16,2015,2
28053,2015-02-28,02186702,34.645,-82.8005556,4.62,2015,2
28054,2015-02-28,02187910,34.38316394,-82.577352,4.95,2015,2
28055,2015-02-28,02192500,34.07150595,-82.5006853,5.48,2015,2
28056,2015-02-28,02195520,33.592911799999996,-82.12317459,16.88,2015,2
28057,2015-02-28,02196000,33.72929717,-82.1817873,18.02,2015,2
28058,2015-02-28,02196485,33.54930154,-82.03678359999998,7.06,2015,2
28059,2015-02-28,02196999,33.37319627,-81.9420599,115.13,2015,2
28060,2015-02-28,02197000,33.3737518,-81.94289329,105.2,2015,2
28061,2015-02-28,02197300,33.3848664,-81.61649799999998,,2015,2
28062,2015-02-28,02197500,32.93904727,-81.50260779999998,11.75,2015,2
28063,2015-02-28,02198375,32.70333333,-81.42833329999998,11.53,2015,2
28064,2015-02-28,02198500,32.52823709,-81.26871649,9.96,2015,2
28065,2015-02-28,02198760,32.33936049,-81.12844379,8.97,2015,2
28066,2015-03-31,02110400,33.953505,-78.71973988,9.97,2015,3
28067,2015-03-31,02110500,33.9126719,-78.7150175,10.79,2015,3
28068,2015-03-31,02110550,33.8508333,-78.8972222,8.21,2015,3
28069,2015-03-31,02110701,33.86100349,-79.04114709999998,,2015,3
28070,2015-03-31,02110725,33.6871151,-79.0047569,13.57,2015,3
28071,2015-03-31,02110777,33.8515612,-78.6558483,16.79,2015,3
28072,2015-03-31,02110802,33.64905837,-79.09420639,18.33,2015,3
28073,2015-03-31,021108125,33.50655724,-79.1269867,7.68,2015,3
28074,2015-03-31,02110815,33.44461245,-79.1739341,18.9,2015,3
28075,2015-03-31,02130561,34.60626798,-79.7883963,69.67,2015,3
28076,2015-03-31,02130840,34.6633333,-80.2116667,6.91,2015,3
28077,2015-03-31,02130900,34.51404244,-80.18312440000003,8.55,2015,3
28078,2015-03-31,02130910,34.39737618,-80.14979100000002,6.72,2015,3
28079,2015-03-31,02130980,34.24376518,-79.7447833,8.76,2015,3
28080,2015-03-31,02131000,34.20432518,-79.5483896,19.15,2015,3
28081,2015-03-31,02131010,34.15738145,-79.55339040000001,26.56,2015,3
28082,2015-03-31,02131472,34.51626465,-80.58285140000002,,2015,3
28083,2015-03-31,02131500,34.2501545,-80.2136816,12.56,2015,3
28084,2015-03-31,02132000,34.05154846,-79.7539545,11.33,2015,3
28085,2015-03-31,02135000,34.05710829,-79.2469897,9.9,2015,3
28086,2015-03-31,02136000,33.66127545,-79.83590448,11.26,2015,3
28087,2015-03-31,02136361,33.32850037,-79.3381102,1.73,2015,3
28088,2015-03-31,021457492,35.065,-81.1383333,4.35,2015,3
28089,2015-03-31,021459367,34.9868083,-81.00833889,2.72,2015,3
28090,2015-03-31,02146000,34.98486935,-80.97396579999999,6.64,2015,3
28091,2015-03-31,02146110,34.94444444,-80.97972220000003,2.95,2015,3
28092,2015-03-31,0214676115,35.040833299999996,-80.8916667,6.0,2015,3
28093,2015-03-31,02146800,35.0059812,-80.9022968,10.43,2015,3
28094,2015-03-31,02147020,34.83625705,-80.879518,8.88,2015,3
28095,2015-03-31,021473415,34.975,-81.18,3.48,2015,3
28096,2015-03-31,021473426,34.95653054,-81.1061882,3.56,2015,3
28097,2015-03-31,021473428,34.8895867,-81.06924599999998,3.64,2015,3
28098,2015-03-31,02147500,34.5654221,-80.9198025,5.45,2015,3
28099,2015-03-31,02148000,34.24459385,-80.6539697,13.06,2015,3
28100,2015-03-31,02153051,35.13762807,-81.5978723,100.34,2015,3
28101,2015-03-31,02153200,35.12401728,-81.58787199,4.12,2015,3
28102,2015-03-31,02153551,35.0312419,-81.492591,26.77,2015,3
28103,2015-03-31,02153590,35.11846498,-81.43647578,3.15,2015,3
28104,2015-03-31,02153700,35.0629045,-81.71454440000002,3.41,2015,3
28105,2015-03-31,02154500,35.12095166,-81.9859403,4.11,2015,3
28106,2015-03-31,02154790,35.10650510000001,-82.12955490000002,5.19,2015,3
28107,2015-03-31,02155500,35.10984144,-81.9595507,6.58,2015,3
28108,2015-03-31,021556525,35.0476231,-81.8556592,2.57,2015,3
